gpa,performance,_id,factor1,factor2,factor3,factor4,factor5
7.92,4.31,218661,0.44,0.21,0.33,0.22,0.12
12,11.52,215510,0.36,0.4,0.77,0.05,0.86
15.86,15.86,218439,0.21,0.03,0.58,0.02,0.09
7,3.23,216305,0.37,0.52,0.68,0.09,0.32
13.06,12.52,216682,0.54,0.68,0.02,0.13,0.68
8.64,4.87,210510,0.16,0.86,0.94,0.5,0.05
11.71,10.75,217792,0.32,0.46,0.53,0.08,0.91
3.38,1.92,213226,0.14,0.09,0.14,0.26,0.38
14.07,13.81,216640,0.82,0.87,0.69,0.49,0.4
12.28,11.08,220428,0.02,0.43,0.86,0.65,0.17
11.56,10.09,217060,0.61,0.3,0.32,0.81,0.91
14.31,13.89,211918,0.2,0.21,0.5,0.56,0.66
7.69,5.92,215326,0.39,0.61,0.51,0.96,0.69
10.81,9.52,217271,0.25,0.58,0.22,0.94,0.48
8.76,6.58,220378,0.47,0.77,0.51,0.59,0.53
6.62,3.69,218077,0.91,0.18,0.85,0.97,0.39
7,3.08,215451,0.99,0.35,0.13,0.14,0.21
8.69,3.38,215822,0.08,0.41,0.54,0.85,0.69
5.38,2.92,214783,0.75,0.69,0.91,0.41,0.71
11.83,11.07,214910,0.76,0.2,0.73,0.67,0.03
9.78,8.1,212341,0.97,0.97,0.42,0.99,0.26
13.95,13.4,212110,0.05,0.12,0.04,0.39,0.72
11.57,10.55,213896,0.12,0.41,0.9,0.51,0.03
15.73,15.73,212548,0.81,0.92,0.16,0.13,0.36
13.52,13.52,213586,0.49,0.68,0.49,0.4,0.49
17.13,17.13,215527,0.19,0.4,0.18,0.16,0.64
5.31,2.31,215128,0.9,0.62,0.5,0.42,0.6
14.15,14.15,214890,0.76,0.6,0.33,0.44,0.39
7.66,5.6,256949,0.6,0.2,0.5,0.44,0.85
3.92,1.85,256028,0.8,0.62,0.12,0.21,0.29
12.92,12.92,261615,0.48,0.35,0.23,0.62,0.57
6.38,2.69,254528,0.16,0.97,0.66,0.35,0.45
5.23,2.85,254351,0.57,0.09,0.69,0.09,0.62
14.6,14.6,255451,0.03,0.04,0.24,0.9,0.11
9.85,6.08,259237,0.86,0.86,1,0.32,0.51
11.36,10.07,260603,0.24,0.58,0.4,0.41,0.57
13.9,13.9,264721,0.76,0.19,0.08,0.34,0.7
5.92,3.62,212073,0.39,0.07,0.81,0.09,0.18
7.46,3.38,253712,0.17,0.45,0.11,0.34,0.43
12.62,12.49,254397,0.47,0.58,0.69,0.44,0.36
6.31,2.08,260067,0.8,0.23,0.71,0.6,0.9
13.62,13.62,204440,0.67,0.47,0.25,0.44,0.45
11.13,10.52,201263,0.37,0.24,0.34,0.82,0.78
12.87,11.58,256779,0.43,0.55,0.25,0.21,0.8
1.29,1.04,258249,0.64,0.74,0.92,1,0.42
16.07,16.07,255882,0.06,0.44,0.84,0.17,0.1
4.62,1.77,254408,0.61,0.35,0.65,0.88,0.91
3.92,1.85,258068,0.12,0.34,0.08,0.44,0.69
8.38,5.38,260743,0.05,0.83,0.09,0.46,0.58
14.87,14.6,259945,0.81,0.1,0.25,0.9,0.2
5.91,2.35,263177,0.77,0.84,0.23,0.54,1
0,0,2609,0.93,0.88,0.02,0.88,0.83
11.58,10.92,199947,0.84,0.98,0.17,0.7,0.31
6.23,3.46,258754,0.18,0.2,0.33,0.04,0.38
2.92,0,257462,0.78,0.77,0.07,0.57,0.51
10.15,6.92,259918,0.74,0.55,0.82,0.53,0.45
8.15,4.38,256101,0.4,0.09,0.98,0.27,0.15
11.1,9.58,263716,0.98,0.82,0.14,0.94,0.55
12.51,12.25,262403,0.88,0.87,0.93,0.7,0.01
13.75,13.48,262714,0.78,0.82,0.44,0.55,0.94
2.23,0,223200,0.44,0.68,0.7,0.47,0.01
6.33,1.83,259853,0.17,0.5,0.14,0.48,0.99
5,3.42,255592,0.01,0.92,0.16,0.1,0.11
3.38,1.69,254279,0.59,0.67,0.32,0.92,1
11.9,11.06,257422,0.24,0.02,0.59,0.9,0.65
7.08,1.77,205252,0.24,0.37,0.51,0.32,0.5
12.2,11.47,258227,0.63,0.72,0.27,0.72,0.05
12.75,12.75,252195,0.46,0.98,0.63,0.94,0.12
14.55,14.55,255454,0.26,0.03,0.55,0.65,0.13
14.49,14.49,263270,0.13,0.95,0.17,0.92,0.79
15.52,15.52,256777,0.45,0.65,0.5,0.11,0.66
11.27,9.41,263869,0.05,0.66,0.58,0.19,0.25
15.93,15.93,262719,0.7,0.79,0.66,0.98,0.9
10.68,8.49,259214,0.07,0.74,0.94,0.74,0.46
11.97,11.23,263464,0.09,0.18,0.49,0.05,0.23
11.69,11.23,255254,0.22,0.46,0.39,0.58,0.62
11.93,10.87,260357,0.7,0.96,0.27,0.41,0.87
9.27,9,256925,0.53,0.75,0.44,0.34,0.64
2.38,0.77,261874,0.79,0.52,0.33,1,0.2
14.85,14.85,257612,0.21,0.58,0.97,0.19,0.07
12.93,12.42,255873,0.98,0.5,0.93,0.93,0.76
8.23,3.62,258684,0.76,0.54,0.93,0.78,0.44
2.38,1.69,256107,0.72,0.19,0.53,0.48,0.02
12.5,11.86,205380,0.38,0.08,0.99,0.16,0.62
6.38,2.77,252197,0.87,0.81,0.46,0.24,0.47
2.62,1.62,253655,0.78,0.53,0.59,0.06,1
6.38,2.77,258359,0.03,0.56,0.31,0.14,1
10.52,8.28,262132,0.15,0.16,0.04,0.79,0.39
12.38,11.71,264098,0.99,0.75,0.6,0.3,0.06
13.65,13.65,200640,0.88,0.81,0.44,0.83,0.9
9.02,6.51,254538,0.67,0.52,0.84,0.99,0.96
12.15,11.81,254599,0.53,0.25,0.41,0.68,0.12
12.68,12.4,258966,0.65,0.81,0.58,0.13,0.46
13.58,13.58,261851,0.64,0.36,0.22,0.42,0.96
7.75,6,162303,0.31,0.35,0.76,0.06,0.79
5.46,1.92,254318,0.2,0.82,0.54,0.35,0.28
10.61,8.48,262227,0.88,0.22,0.76,0.62,0.13
15.93,15.93,264143,0.24,0.12,0.85,0.48,0.79
7.5,4,259975,0.58,0.05,0.97,0.94,0.43
17.54,17.54,256851,0.74,0.47,0.67,0.24,0.92
11.12,10.51,265642,0.19,0.18,0.33,0.24,0.4
12.62,12.33,258855,0.7,0.01,0.18,0.82,0.55
16.13,16.13,254811,0.29,0.94,0.3,0.94,0.55
10.65,8.81,262454,0.47,0.82,0.79,0.11,0.81
13.43,12.63,262717,0.1,0.68,0.76,0.85,0.52
12.65,12.4,257450,0.51,0.9,0.4,0.76,0.17
15.19,14.9,255983,0.44,0.13,0.03,0.2,0.28
7,2.92,263017,0.72,0.04,0.37,0.54,0.91
12.43,11.57,206758,0.63,0.77,0.74,0.51,0.5
5.54,1.77,259009,0.65,0.85,0.37,0.81,0.23
5.31,2.85,259021,0.15,0.9,0.05,0.48,0.65
8.08,6.77,261588,0.19,0.51,0.02,0.09,0.32
14.33,14.33,257108,0.42,0.39,0.87,0.16,0.15
13.13,13.13,259902,0.81,0.15,0.22,0.93,0.91
8.37,4.63,259832,0.23,0.28,0.89,0.83,1
12.82,12.58,258771,0.35,0.42,0.28,0.2,0.07
7,3.25,180664,0.27,0.33,0.7,0.48,0.4
9.48,8.16,203983,0.15,0.25,0.14,0.19,0.88
10.89,9.34,215191,0.3,0.44,0.25,0.06,0.46
13.28,12.9,255650,0.24,0.81,0.08,0.22,0.91
10.76,9.25,264935,0.09,0.84,0.13,0.79,0.1
17.06,17.06,260019,0.16,0.75,0.13,0.26,0.44
3.08,0.92,257915,0.74,0.43,0.95,0.54,0.69
2.67,1.83,264120,0.54,0.8,0.7,0.82,0.42
16.44,16.44,252207,0.95,0.52,0.96,0.38,0.9
6,2.62,255904,0.83,0.95,0.68,0.2,0.35
7,4.31,257589,0.94,0.76,0.23,0.58,0.16
14.69,14.69,257084,0.66,0.15,0.67,0.89,0.97
7.69,4.38,255399,0.09,0.92,0.87,0.19,0.23
14.6,14.6,259010,0.18,0.44,0.22,0.35,0.77
14.78,14.78,261650,0.86,0.53,0.37,0.12,0.14
13.26,12.98,255190,0.46,0.63,0.8,0.73,0.39
12.41,11.89,262134,0.03,0.08,0.93,0.63,0.33
11,8.46,263780,0.4,0.68,0.41,0.55,0.46
13.01,12.34,259274,0.48,0.93,0.16,0.52,0.9
11.41,10.41,258975,0.87,0.23,0.7,0.58,0.97
8.77,7.08,254468,0.08,0.8,0.29,0.83,0.56
14.95,14.95,265611,0.15,0.91,0.31,0.85,0.57
12.65,11.54,265180,0.32,0.43,0.79,0.82,0.52
15.37,15.37,254585,0.65,0.15,0.28,0.93,0.7
5.08,2.69,253251,0.11,0.78,0.21,0.17,0.18
13.27,13.27,252209,0.39,0.56,0.64,0.72,0.61
12.4,11.39,259471,0.04,0.35,0.09,0.77,0.39
13.35,13.35,260938,0.4,0.14,0.87,0.17,0.38
7.77,6.38,256768,0.07,0.73,0.36,0.24,0.83
12.12,10.83,258939,0.16,0.4,0.05,0.79,0.07
12.44,11.04,205521,0.33,0.92,0.77,0.43,0.85
8.5,4.67,252210,0.75,0.31,0.66,0.01,0.41
8.6,6.12,256929,0.37,0.01,0.78,0.33,0.35
15.2,14.62,254761,0.25,0.58,0.29,0.44,0.64
11.07,9.48,260271,0.21,0.96,0.78,0.03,0.13
4.23,3,172828,0.94,0.42,0.59,0.19,0.14
13.02,12.63,263578,0.23,0.34,0.53,0.15,0.43
11.48,10.6,262712,0.68,0.95,0.31,0.16,0.87
9.64,6.91,200337,0.08,0.03,0.8,0.57,0.23
4.54,2.46,262889,0.93,0.85,0.86,0.14,0.02
16.14,16.14,256770,0.75,0.27,0.02,0.36,0.11
11.62,10.01,260159,0.49,0.44,0.47,0.02,0.58
14.38,14.38,260186,0.61,0.97,0.48,0.51,0.42
13.69,13.54,259001,0.81,0.21,0.19,0.11,0.1
13.64,13.52,259563,0.99,0.31,0.91,0.84,0.43
11.85,10.81,255063,0.06,0.72,0.17,0.2,0.65
8.69,5.92,263712,0.59,0.74,1,0.5,0.71
11.97,10.6,258129,0.7,0.81,0.66,0.6,0.42
6.92,3.38,259815,0.28,0.07,0.61,0.63,0.5
12.89,12.89,201595,0.97,0.02,0.26,0.28,0.27
0.15,0,256511,0.72,0.03,0.46,0.41,0.1
1.62,0.77,256379,0.29,0.58,0.34,0.25,0.45
12.66,12.66,256713,0.25,0.47,0.02,0.3,0.41
5.48,4.79,256499,0.54,0.36,0.42,0.88,0.17
11.97,11.3,252211,0.56,0.74,0.48,0.64,0.29
11.65,10.54,252212,0.38,0.51,0.76,0.13,0.42
11.63,10.29,200141,0.08,0.69,0.34,0.93,0.97
15.34,15.34,260076,0.15,0.08,0.09,0.5,0.52
10.1,8.35,257131,0.28,0.88,0.55,0.8,0.6
12,11.11,200921,0.87,0.01,0.11,0.79,0.91
13,12.21,254560,0.62,0.05,0.4,0.15,0.82
6.69,1.92,256745,0.96,0.43,0.08,0.75,0.96
12.03,11.32,258179,0.15,0.46,0.34,0.75,0.18
12.42,12.42,258126,0.46,0.98,0.15,0.05,0.49
11.47,10.75,256765,0.04,0.15,0.36,0.96,0.88
16.39,16.39,260428,0.72,0.29,0.94,0.87,0.17
13.25,12.99,258905,0.95,0.71,0.37,0.62,0.53
11.33,9.74,259167,0.96,0.65,0.3,0.39,0.99
15.79,15.79,257751,0.24,0.96,0.5,0.24,0.18
10.23,8.05,262094,0.73,0.41,0.24,0.46,0.31
12.45,11.64,259325,0.89,0.19,0.91,0.66,0.53
11.88,11.1,254326,0.25,0.56,0.2,0.97,0.43
9.19,6.13,204885,0.33,0.39,0.47,0.48,0.78
9.09,6.54,263003,0.77,0.19,0.84,0.31,0.59
11.16,9.49,256151,0.36,0.55,0.22,0.95,0.11
7.77,3.62,254332,0.18,0.21,0.54,0.69,0.79
15.39,15.39,255105,0.32,0.27,0.53,0.45,0.16
3.23,1,257542,0.8,0.68,0.85,0.89,0.07
13.14,12.86,262224,0.13,0.05,0.26,0.1,0.99
12.72,12.21,258878,0.61,0.55,0.22,0.31,0.07
13.33,13.18,263978,0.41,0.53,0.07,0.01,0.17
2.15,0.85,255831,0.55,0.09,0.4,0.35,0.72
15.7,15.7,254448,0.67,0.07,0.62,0.5,0.16
15.08,15.08,254850,0.11,0.42,0.88,0.67,0.24
14.72,14.72,259849,0.72,0.46,0.74,0.85,0.96
12.59,12.44,265073,0.29,0.79,0.14,0.8,0.6
6.83,2.17,261933,0.58,0.05,0.3,0.73,0.95
9.72,7.7,257474,0.2,0.34,0.58,0.09,0.28
12,10.87,203802,0.94,0.75,0.54,0.37,0.95
14.05,14.05,254879,0.06,0.74,0.72,0.22,0.9
13.68,13.68,259735,0.12,0.87,0.68,0.66,0.8
11.48,10.12,189672,0.86,0.15,0.37,0.75,0.32
12.55,12.01,262129,0.17,0.72,0.78,0.37,0.57
1.2,0.84,213048,0.69,0.05,0.24,0.07,0.51
11.87,11.3,259321,0.02,0.72,0.35,0.32,0.5
8.08,2.69,252277,0.22,0.51,0.26,0.27,0.81
12,10.86,257124,0.27,0.41,0.97,0.78,0.81
13.07,13.07,264820,0.54,0.52,0.24,0.74,0.78
11.38,9.31,191365,0.43,0.53,0.27,0.41,0
5.46,2.38,264153,0.47,0.29,0.04,0.54,0.74
10.01,8.77,261178,0.95,0.98,0.26,0.58,0.53
5.46,3.38,264879,0.09,0.83,0.58,0.49,0.69
13.2,12.97,252219,0.07,0.56,0.36,0.68,0.43
9.7,6.81,254755,0.78,0.55,0.71,0.14,0.25
6.77,2.54,253552,0.48,0.02,0.7,0,0.7
10.82,9.49,258281,0.04,0.95,0.46,0.47,0.44
7.08,3.46,255965,0.08,0.9,0,0.86,0.72
11.53,10.38,261631,0.05,0.03,0.32,0.99,0.43
14.36,14.36,256295,0.34,0.48,0.89,0.95,0.74
13.25,12.95,262742,0.52,0.12,0.38,0.87,0.04
6.67,6.11,206502,0.47,0.91,0.17,0.08,0.02
11.61,10.45,254221,0.66,0.28,0.94,0.72,0.22
10.77,8.86,262197,0.56,0.04,0.44,0.64,0.8
10.59,9.22,258277,0.69,0.44,0.49,0.74,0.27
6.59,2.65,255231,0.39,0.77,0.08,0.67,0.28
12.12,11.19,254853,0.66,0.6,0.64,0.18,0.82
11.02,8.98,260071,0.22,0.71,0.21,0.17,0.61
12.04,11,199084,0.17,0.56,0.62,0.34,0.68
7.92,4.85,259012,0.37,0.31,0.63,0.55,0.72
8.46,5.13,259007,0.19,0.9,0.49,0.04,0.01
12.43,12.08,263298,0.58,0.36,0.66,0.43,0.61
9.31,6.44,203698,0.69,0.17,0.16,0.27,0.16
2.38,0.77,262358,0.51,0.99,0.43,0.05,0.79
4.54,1.54,261502,0.09,0.3,0.92,0.59,0.48
11.78,10.61,264230,0.49,0.67,0.28,0.4,0.4
13.48,13.48,260595,0.61,0.45,0.17,0.57,0.82
9.54,8.48,263016,0.96,0.79,0.08,0.01,0.74
4.91,2.82,257976,0.62,0.28,0.53,0.57,0.09
3.87,1.83,260831,0.1,0.43,0.94,0.21,0.17
6.15,1.85,264336,0.16,0.72,0.17,0.32,0.74
15.84,15.84,259251,0.55,0.81,0.61,0.64,0.74
5.54,2.62,263763,0.14,0.76,0.88,0.22,0.83
12.17,11.42,263361,0.19,0.51,0.41,0.46,0.07
12.76,12.01,263950,0.43,0.54,0.35,0.59,0.74
12.28,11.75,262902,0.76,0.74,0.07,0.97,0.07
12.4,12.05,260077,0.96,0.04,0.1,0.86,0.63
3.62,1.77,258301,0.32,0.55,0.51,0.96,0.39
4,1.67,259751,0.4,0.15,0.73,0.4,0.74
4.15,1.69,255049,0.56,0.09,0.46,0.14,0.92
14.08,14.08,254534,0.64,0.58,0.83,0.23,0.98
5.38,2.38,252999,0.89,0.57,0.18,0.72,0.68
10.33,8.27,257099,0.11,0.73,0.07,0.94,0.36
11.32,9.71,257311,0.73,0.85,0.32,0.73,0.72
1.67,1.67,256422,0.77,0.2,0.65,0.57,0.31
9.7,7.96,260677,0.47,0.22,0.17,0.69,0.6
13.1,12.65,199820,0.47,0.01,0.39,0.54,0.82
6.55,5.62,257093,0.24,0.32,0.41,0.15,0.06
11.38,11.14,204950,0.78,0.57,0.99,0.4,0.72
13.13,12.6,257215,0.57,0.69,0.19,0.93,0.61
7.54,3.46,259316,0.87,0.11,0.84,0.67,0.73
11.33,10.28,202078,0.1,0.5,0.08,0.54,0.11
15.1,15.1,262716,0.18,0.41,0.03,0.46,0.16
12.67,12.16,256855,0.86,0.58,0.64,0.39,0.2
16.12,16.12,266417,0.46,0.86,0.77,1,0.79
12.54,12.36,259189,0.68,0.65,0.48,0.86,0.17
7.17,5.83,261876,0.25,0.18,0.43,0.64,1
9.15,3.77,252233,0.14,0.67,0.59,0.71,0.34
15.66,15.66,255043,0.08,0.12,0.5,0.78,0.29
7.69,5.46,252234,0.15,0.19,0.81,0.57,0.46
17.46,17.46,264688,0.96,0.22,0.46,0.43,0.71
8.58,5.71,261181,0.1,0.17,0.75,0.98,0.97
2.83,1,263299,0.74,0.1,0.8,0.36,0.62
11.83,11.39,199988,0.91,0.29,0.98,0.28,0.46
5.46,3.46,259211,0.06,0.24,0.33,0.68,0.93
6.54,2,260525,0.46,0.23,0.99,0.62,0.37
12.63,12.08,263682,0.31,0.09,0.34,0.85,0.08
14.67,14.4,259244,0.16,0.55,0.16,0.61,0.47
7.08,3.93,191821,0.38,0.08,0.73,0.59,0.69
12.16,11.35,262020,0.9,0.65,0.54,0.35,0.18
3.31,1.77,265508,0.01,0.76,0.1,0.63,0.17
1.08,0.85,261641,0.91,0.03,0.71,1,0.53
13.28,12.87,260064,0.1,0.34,0.05,0.77,0.76
10.8,8.8,203014,0.02,0.05,0.76,0.93,0.76
16.38,16.38,254563,0.58,0.06,0.45,0.79,0.2
12.54,11.76,252235,0.76,0.65,0.12,0.35,0.02
6.46,2.92,259520,0.23,0.36,0.03,0.57,0.91
15.92,15.92,255340,0.68,0.3,0.51,0.89,0.9
15.59,15.59,255811,0.73,0.89,0.52,0.54,0.49
13.89,13.89,255990,0.14,0.51,0.51,0.35,0.19
9.61,7.83,235624,0.21,0.84,0.91,0.09,0.06
12.75,12.2,255634,0.96,0.41,0.51,0.72,0.79
15.21,15.21,262494,0.35,0.48,0.79,0.18,0.93
4.92,1.62,256419,0.93,0.27,0.2,0.81,0.07
12.36,11.69,257776,0.5,0.92,0.94,0.98,0.34
12.25,11.29,258654,0.07,0.99,0.75,0.49,0.98
3.92,3.23,255082,0.95,0.57,0.02,0.85,0.03
12.76,12.49,258652,0.04,0.24,0.75,0.59,0.96
11.64,11.15,252237,0.52,0.18,0.3,0.27,0.7
13.72,13.72,259197,0.2,0.63,0.93,0.01,0.01
12.38,11.44,258020,0.6,0.02,0.59,0.24,0.01
12.98,12.85,263896,0.01,0.22,0.56,0.54,0.41
12.82,12.29,201330,0.26,0.78,0.68,0.44,0.04
12.35,11.62,254713,0.83,0.89,0.03,0.48,0.99
13.72,13.72,259648,0.87,0.52,0.13,0.48,0.93
12.79,12.14,201603,0.14,0.61,0.69,0.12,0.54
13.39,12.37,261885,0.12,0.03,0.53,0.76,0.76
11.22,10.06,252411,0.45,0.14,0.1,0.53,0.91
10.22,8.28,200277,0.14,0.64,0.1,0.01,0.29
13.92,13.92,257659,0.28,0.3,0.75,0.6,0.58
12.91,12.64,257975,0.61,0.17,0.93,0.9,0.82
15.16,15.16,256516,0.35,0.71,0.79,0.16,0.84
11.89,11.33,255136,0.2,0.09,0.2,0.81,0.38
13.28,13.28,255304,0.61,0.61,0.73,0.35,0.75
7.92,3.62,257021,0.75,0.67,0.72,0.74,0.83
6.4,2.2,210822,0.59,0.26,0.89,0.68,0.55
11.72,11.13,259823,0.81,0.14,0.98,0.1,0.22
11.71,10.88,259774,0.89,0.64,0.09,0.87,0.39
14.41,14.41,263629,0.46,0.88,0.03,0.73,0.44
12.28,11.75,263838,0.99,0.15,0.79,0.17,0.26
8.86,4.67,264606,0.78,0.64,0.69,0.2,0.06
15.52,15.52,261031,0.73,0.1,0.16,0.68,0.31
2.17,1.83,257744,0.66,0.08,0.48,0.46,0.09
16.49,16.21,260112,0.83,0.68,0.47,0.9,0.37
3.72,1.33,256942,0.1,0.62,0.81,0.33,0.01
8.03,4.86,256941,0.18,0.85,0.94,0.13,0.5
11.44,10.3,255107,0.4,0.13,0.22,0.84,0.41
13.37,13.12,264331,0.75,0.58,0.89,0.92,0.81
5.15,1.08,254298,0.99,0.45,0.13,0.3,0.61
14.19,14.19,259116,0.94,0.76,0.57,0.55,0.92
13.11,12.85,262954,0.64,0.27,0.47,0.15,0.83
7.38,4.46,260327,0.6,0.57,0.21,0.68,0.58
12.88,12.34,255439,0.69,0.04,0.66,0.67,0.44
11.59,9.19,260266,0.39,0.03,0.38,0.48,0.45
8.65,6.4,256432,0.48,0.7,0.54,0.87,0.36
11.89,11.15,258096,0.79,0.41,0.35,0.46,0.32
11.04,9.75,253664,0.9,0.18,0.8,0.8,0.47
12.25,11.4,199104,0.69,0.53,0.03,0.08,0.02
3.92,1.69,257289,0.03,0.85,0.33,0.24,0.25
14.63,14.36,260180,0.25,0.21,0.61,0.78,1
14.11,14.11,257461,0,0.43,0.32,0.43,0.12
11.83,10.25,259755,0.82,0.6,0.22,0.38,0.48
12.2,11.28,254770,0.93,0.99,0.17,0.84,0.05
7.33,6.33,258412,0.88,0.42,0.14,0.06,1
11.88,10.92,263877,0.63,0.29,0.16,0.84,0.93
13.41,12.73,260385,0.13,0.12,0.75,0.45,0.94
16.09,16.09,252286,0.95,0.98,0.11,0.31,0.33
13.24,13.24,191054,0.91,0.82,0.12,0.28,0.18
1.38,0,257741,0.48,0.83,0.04,0.74,0.59
5.41,3.29,219340,0.64,0.87,0.16,0.13,0.56
13.17,13.17,262450,0.28,0.82,0.93,0.13,0
10.02,7.1,256947,0.18,0.06,0.28,0.25,0.54
8.42,3.16,255647,0.22,0.37,0.6,0.13,0.09
6,1.77,260573,0.05,0.07,0.53,0.24,0.12
13.1,12.97,261509,0.17,0.69,0.67,0.3,0
12.93,12.24,258187,0.13,0.4,0.25,0.36,0.84
7.12,4.66,258146,0.79,0.11,0.13,0.34,0.89
13.78,13.78,253613,0.99,0.51,0.68,0.88,0.67
3.15,1.92,256361,0.54,0.07,0.4,0.72,0.02
3.8,1.3,251975,0.75,0.65,0.05,0.56,0.24
12.06,11.24,258218,0.45,0.33,0.35,0.57,0.16
14.34,14.34,254703,0.97,0.64,0.39,0.02,0.8
12.86,12.22,218589,0.61,0.31,0.45,0.23,0.2
12.24,11.52,264469,0.88,0.87,0.14,0.22,0.81
12.06,11.43,253252,0.76,0.7,0.54,0.55,0.29
12.94,12.67,256957,0.34,0.43,0.4,0.25,0.08
8.08,3.77,252254,0.96,0.65,0.15,0.52,0.32
9.49,5.1,261853,0.18,0.17,0.91,0.22,0.37
8.31,5.38,253250,0.74,0.87,0.19,0.72,0.24
3.31,1.54,260995,0.66,0.63,0.05,0.1,0.82
9.29,7.38,191900,0.53,0.36,0.38,0.63,0.96
12.87,12.46,260531,0.38,0.97,1,0.67,0.9
15.3,15.3,261487,0.21,0.17,0.49,0.45,0.53
12.75,12.51,259923,0.67,0.82,0.24,0.76,0.59
12.84,12.3,252381,0.47,0.02,0.53,0.58,0.65
10.73,9,203667,0.63,0.56,0.98,0.67,0.63
12,10.87,218042,0.19,0.24,0.84,0.96,0.2
0,0,265715,0.8,0.39,0.83,0.67,0.08
11.92,11.63,262521,0.22,0.43,0.35,0.85,0.75
12.46,11.96,258892,0.11,0.25,0.92,0.67,0.14
12.25,11.21,256470,0.29,0.03,0.35,0.65,0.93
15.13,15.13,252258,0.42,0.13,0.89,0.25,0.03
14.24,13.97,259888,0.58,0.14,0.6,0.29,0.18
13.56,13.56,253889,0.79,0.59,0.07,0.6,0.74
10.32,8.06,260229,0.71,0.74,0.57,0.92,0.43
12.4,12.15,252260,0.35,0.34,0.5,0.03,0.59
10.06,8.94,200302,0.01,0.63,0.64,1,0.48
13.06,12.79,252261,0.93,0.07,0.19,0.7,0.41
5.46,2.54,255132,0.97,0.09,0.56,0.75,0.9
7.08,2.38,259654,0.69,0.9,0.27,0.43,0.19
10.78,8.99,259890,0.01,0.42,0.65,0.34,0.88
14.43,14.43,256527,0.51,0.43,0.46,0.35,0.19
13.19,13.06,258751,0.79,0.14,0.47,0.66,0.21
12.52,12.52,262990,0.03,0.48,0.6,0.84,0.69
12.16,11.03,254002,0.4,0.14,0.98,0.1,0.4
11.86,11.21,206972,0.21,0.22,0.3,0.56,0.99
11.74,10.65,259401,0.75,0.3,0.81,0.46,0.47
8.69,3.23,254529,0.14,1,0.78,0.76,0.62
14.1,14.1,260110,0.29,0.99,0.6,0.05,0.26
11.47,10.69,264237,0,0.75,0.64,0.98,0.32
14.33,14.05,264175,0.8,0.35,0.35,0.22,0.23
5,1.54,261881,0.18,0.78,0.72,0.38,0.41
14.16,13.57,254621,0.84,0.96,0.25,0.05,0.68
11.38,9.08,208922,0.63,0.49,0.25,0.82,0.89
11.05,10.24,188030,0.17,0.09,0.59,0.57,0.73
13.55,13.28,253643,0.37,0.04,0.88,0.99,0.27
10.76,9.43,253980,0.74,0.29,0.78,0.17,0.15
8.38,5.38,259441,0.46,0.85,0.97,0.13,0.63
6.15,1.92,255319,0.79,0.93,0.39,0.04,0.77
12.87,12.87,202408,0.82,0.03,0.86,0.95,0.23
12.2,12.2,198853,0.39,0.81,0.27,0.08,0.54
14.2,14.2,264940,0.67,0.87,0.13,0.27,0.01
11.35,10.12,257435,0.46,0.92,0.33,0.33,0.4
11.48,10.43,203210,0.15,0.95,0.42,0.77,0.27
15.67,15.67,255619,0.63,0.7,0.69,0.19,0.08
10.08,8.11,263710,0.11,0.04,0.77,0.82,0.22
11.4,9.7,253725,0.66,0.65,0.56,0.38,0.12
16.58,16.58,261879,0.14,0.14,0.36,0.01,0.48
13.13,12.73,260504,0.7,0.98,0.13,0.42,0.47
9.23,6.15,258358,0.31,0.15,0.1,0.61,0.92
11.23,10.45,259422,0.69,0.06,0.11,0.32,0.44
4.46,2.54,264988,0.9,0.31,0.62,0.02,0.51
7.77,5.75,260634,0.31,0.72,0.6,0.2,0.77
9.54,6.82,260342,0.03,0.44,0.18,0.2,0.48
9.07,6.85,226466,0.78,0.76,0.14,0.91,0.7
9.8,9.05,259136,0.45,0.99,0.39,0.79,0.93
13.32,13.05,257952,0.34,0.6,0.17,0.94,0.33
8.18,4.51,254035,0.47,0.89,0.32,0.3,0.32
11.11,9.61,260178,0.5,0.75,0.12,0.71,0.49
11.05,8.99,254237,0.6,0.61,0.52,0.15,0.44
7.61,6.32,252274,0.46,0.11,0.69,0.09,0.49
12.86,12.86,259090,0.27,0.36,0.89,0.69,0.23
9,4.33,259524,0.75,0.6,0.5,0.76,0.83
14.85,14.85,259508,0.98,0.89,0.54,0.72,0.22
11.65,10.2,252276,0.34,0.36,0.69,0.82,0.81
6.38,2.08,260666,0.36,0.22,0.07,0.64,0.72
11.16,9.27,258345,0.87,0.93,0.66,0.14,0.54
12.33,11.6,258302,0.16,0.09,0.7,0.99,0.02
12.41,11.59,202064,0.09,0.17,0.58,0.8,0.12
10.31,8.49,257393,0.96,0.7,0.39,0.38,0.84
11.38,10.33,206752,0.35,0.82,0.91,0.43,0.52
12.74,12.74,252348,0.39,0.21,0.95,0.97,0.06
5.74,2.57,260268,0.17,0.76,0.81,0.92,0.67
12.25,11.45,252350,0.83,0.57,0.96,0.97,0.61
13.57,13.02,260256,0.68,0.49,0.41,0.79,0.81
16.27,16.27,253239,0.32,0.95,0.62,0.78,0.96
10.89,10.44,205115,0.08,0.39,0.95,0.54,0.85
13.05,12.49,255950,0.24,0.29,0.56,0.29,0.05
13.78,13.78,264543,0.83,0.48,0.2,0.3,0.1
